number,id,delta,x_coord,y_coord
0,881f8d4581fffff,1,48.12500860570914,11.515835823754754
1,881f8d44c3fffff,3,48.181652147235695,11.572290326157123
2,881f8d45d5fffff,-1,48.1385379569946,11.521700265437794
3,881f8d4593fffff,-4,48.12586145649906,11.560800501730284
4,881f8d44a1fffff,-6,48.14699864814944,11.563605494724701
5,881f8d4535fffff,2,48.1139669417582,11.441020154857855
6,881f8d7ae9fffff,1,48.106370929590625,11.647929694960437
7,881f8d44e7fffff,-9,48.15629617139376,11.548522083003938
8,881f8d45c3fffff,3,48.14022402944496,11.509689959094054
9,881f8d45dbfffff,-4,48.15037765950356,11.539579716069387
10,881f8d7a6dfffff,-5,48.11233097688893,11.554929002256337
11,881f8d4587fffff,-6,48.1173995447489,11.518907885793059
12,881f8d7851fffff,-2,48.07930547735565,11.636156177100261
13,881f8d44a5fffff,24,48.14108061294973,11.554662452414323
14,881f8d4417fffff,-15,48.17319487326625,11.530363181796318
15,881f8d4403fffff,2,48.17656422857768,11.506331053171953
16,881f8d7a29fffff,-4,48.10133163893285,11.582009429496814
17,881f8d7b53fffff,2,48.08949217925111,11.564131617863136
18,881f8d784bfffff,-1,48.0827065452741,11.612147628882513
19,881f8d44abfffff,-7,48.1529157896519,11.572550297465597
20,881f8d7a07fffff,-2,48.10555362976292,11.602958480128764
21,881f8d7a5dfffff,-12,48.13430881486912,11.602710267331823
22,881f8d44d1fffff,-1,48.18587531806492,11.593260337240096
23,881f8d45cbfffff,4,48.14783039186916,11.506616156178268
24,881f8d4591fffff,1,48.12755234783244,11.548791027541172
25,881f8d7a45fffff,7,48.124169189307516,11.572810070262053
26,881f8d44adfffff,5,48.1486888420104,11.551592557794338
27,881f8d791dfffff,-2,48.02262647910531,11.579714522645334
28,881f8d7a41fffff,-2,48.130086955950745,11.58175324296697
29,881f8d7a9bfffff,-4,48.10966417048748,11.725889575162432
30,881f8d44cbfffff,3,48.18925705032342,11.56922032053535
31,881f8d44b5fffff,3,48.14361413106499,11.587631649981365
32,881f8d4edbfffff,-2,48.10892309714594,11.477032453759781
33,881f8d44a9fffff,-7,48.15460666882411,11.5605361430158
34,881f8d44c5fffff,-10,48.177425331572834,11.551324606243956
35,881f8d45b9fffff,-1,48.11571139747417,11.530914828036558
36,881f8d45b3fffff,-4,48.106410532070775,11.545991106788007
37,881f8d7a15fffff,1,48.109771980696834,11.623911806265765
38,881f8d7129fffff,1,48.14274160236548,11.644637148256447
39,881f8d4597fffff,5,48.119942111893,11.551860304760892
40,881f8d712dfffff,-2,48.136828577649894,11.635685056534047
41,881f8d7a61fffff,-2,48.11063870344845,11.566936232125679
42,881f8d45d7fffff,-14,48.136850508711866,11.533710669574715
43,881f8d0827fffff,1,48.28721481250543,11.586358775525367
44,881f8d459dfffff,3,48.129241863372435,11.536781648748812
45,881f8d4413fffff,4,48.17911275972645,11.539307176141739
46,881f8d71a3fffff,1,48.12148053276996,11.743810255780577
47,881f8d7ae5fffff,-1,48.09283930795988,11.642041801858367
48,881f8d09b9fffff,-5,48.25175182196174,11.634740652946729
49,881f8d44c7fffff,-2,48.1757365263076,11.563342131647893
50,881f8d7a0dfffff,-6,48.11486323746753,11.587885641749558
51,881f8d44d7fffff,-3,48.17826903267942,11.596328093272936
52,881f8d7a59fffff,-5,48.14022410773506,11.61165817339838
53,881f8d7801fffff,1,48.059851378835674,11.621331570471918
54,881f8d4437fffff,-2,48.15375116564773,11.515554322455564
55,881f8d45bbfffff,-9,48.1140218748759,11.542921867208808
56,881f8d7a0bfffff,-5,48.11908413194125,11.608839331371117
57,881f8d09abfffff,-1,48.24753623483751,11.613746073655207
58,881f8d44b1fffff,2,48.149529901241436,11.596578885457493
59,881f8d4599fffff,-3,48.135161684531205,11.545721170450497
60,881f8d4595fffff,-6,48.121632318701806,11.539852047911277
61,881f8d7a47fffff,-2,48.12247554619339,11.584819732082268
62,881f8d7a43fffff,2,48.128392627529124,11.593764120253946
63,881f8d7229fffff,-1,48.237362171219466,11.685931263457496
64,881f8d448dfffff,-3,48.16813051405316,11.566412100533755
65,881f8d7ad1fffff,-2,48.12069914486425,11.698810183162166
66,881f8d4483fffff,-3,48.164747389651595,11.59044518457362
67,881f8d7a05fffff,-7,48.10725002994944,11.590950972115513
68,881f8d7161fffff,0,48.15205200813197,11.62955926282633
69,881f8d4489fffff,-4,48.17404634386561,11.575359751297293
70,881f8d7a51fffff,2,48.13261242437135,11.61472245044419
71,881f8d4485fffff,-9,48.16052360177614,11.569481489090666
72,881f8d7ac9fffff,1,48.125813096567704,11.662772068777246
73,881f8d44e5fffff,-4,48.15798429742594,11.536508118485392
74,881f8d7221fffff,-1,48.229757085195565,11.688992969945067
75,881f8d7825fffff,-3,48.03447103860901,11.597580141333355
76,881f8d7123fffff,-1,48.13342754030504,11.659712290945796
77,881f8d7a69fffff,5,48.11825052946072,11.563868656719706
78,881f8d45e5fffff,-3,48.11653118920927,11.473957070672983
79,881f8d44d5fffff,-2,48.17996127869556,11.584309163504944
80,881f8d443dfffff,-3,48.163040416952775,11.500466808442043
81,881f8d7aa5fffff,1,48.075898908148424,11.66016507589272
82,881f8d4419fffff,1,48.188401847933356,11.524215922099712
83,881f8d7a1dfffff,-1,48.11738636067603,11.62084926673115
84,881f8d7a55fffff,2,48.126696922886616,11.605775089007455
85,881f8d7a4dfffff,9,48.13177990821539,11.56974245820106
86,881f8d7a11fffff,-3,48.11568721323378,11.632859291162418
