num_vehicles,5
num_vehicles_max,5
num_vehicles_step,1
capacity,15
capacity_max,15
capacity_step,1
graph_size,50
graph_size_max,300
graph_size_step,50
graph_variations,5
trials_per_graph,5
stop_duration,40
load_duration,15
timeout,60
ordered_nbhs,"[<function intra_two_opt at 0x00000129A8480790>, <function intra_segment_swap at 0x00000129A8480EE0>, <function inter_two_opt at 0x00000129A8480D30>, <function inter_segment_swap at 0x00000129A8480F70>, <function multi_remove_and_insert_station at 0x00000129A848B700>]"
nbh_change_set,"[<function change_nbh_cyclic at 0x00000129A848B940>, <function change_nbh_pipe at 0x00000129A848B9D0>, <function change_nbh_sequential at 0x00000129A848B8B0>, <function change_nbh_check_all at 0x00000129A848BA60>]"
large_nbhs,"[0.1, 0.15, 0.2, 0.3]"
large_timeout,200
graph_size,graph_instance,num_vehicles,capacity,trial,greedy_cost,vns_cyclic_cost,vns_cyclic_time,vns_pipe_cost,vns_pipe_time,vns_seq_cost,vns_seq_time,vns_all_cost,vns_all_time
50,0,5,15,0,36729,31913,0.588,29315,0.639,30454,0.78,30191,1.093
50,0,5,15,1,37828,32210,0.428,32310,0.376,32310,0.339,31157,1.049
50,0,5,15,2,34404,30434,0.578,30635,0.312,30704,0.445,30450,1.275
50,0,5,15,3,38098,29166,0.547,30072,0.53,29160,0.888,29413,1.159
50,0,5,15,4,34544,30403,0.566,30298,0.388,30116,0.794,29887,2.197
50,1,5,15,0,33010,26555,0.427,26527,0.421,27934,0.632,26724,1.307
50,1,5,15,1,36731,27841,0.738,28264,0.308,30415,0.415,28244,1.034
50,1,5,15,2,35845,28687,0.474,28123,0.615,27887,0.913,27354,1.934
50,1,5,15,3,32964,29545,0.253,28974,0.394,27548,0.643,26336,1.477
50,1,5,15,4,33504,26786,0.582,28415,0.308,27320,0.856,28839,1.182
50,2,5,15,0,35143,31973,0.28,31148,0.372,32187,0.225,31858,1.191
50,2,5,15,1,36432,32113,0.395,32912,0.343,31300,0.451,31684,1.266
50,2,5,15,2,35076,33089,0.136,31591,0.343,31671,0.326,32631,0.584
50,2,5,15,3,36133,35060,0.145,34149,0.278,33177,0.257,33071,0.722
50,2,5,15,4,35656,32143,0.352,32129,0.32,32311,0.282,30488,1.927
50,3,5,15,0,38476,32470,0.37,31772,0.525,32470,0.342,31936,0.817
50,3,5,15,1,38596,33458,0.204,31577,0.389,29541,0.757,30418,1.228
50,3,5,15,2,37762,34563,0.216,31264,0.596,31504,0.881,30460,1.424
50,3,5,15,3,38770,33131,0.405,31406,0.311,30951,0.835,33287,0.769
50,3,5,15,4,40628,33822,0.489,32420,0.336,31494,0.574,32399,1.177
50,4,5,15,0,44958,30896,0.569,31735,0.512,32204,0.494,31905,1.049
50,4,5,15,1,42274,33909,0.193,30627,0.65,31949,1.044,30680,1.174
50,4,5,15,2,42042,30112,0.433,30887,0.417,29759,0.747,30029,1.361
50,4,5,15,3,44357,33715,0.502,33626,0.426,30164,0.949,30113,1.851
50,4,5,15,4,45718,32327,0.506,31888,0.46,30668,0.889,32910,1.13
100,0,5,15,0,62149,52035,1.089,51213,1.547,53275,2.155,51548,6.585
100,0,5,15,1,62502,52814,0.987,54028,1.288,52855,1.407,51761,7.795
