num_vehicles,5
num_vehicles_max,5
num_vehicles_step,1
capacity,15
capacity_max,15
capacity_step,1
graph_size,50
graph_size_max,350
graph_size_step,50
graph_variations,5
trials_per_graph,5
stop_duration,40
load_duration,15
timeout,60
ordered_nbhs,"[<function intra_two_opt at 0x000001C7FA05E670>, <function intra_segment_swap at 0x000001C7FA05EDC0>, <function inter_segment_swap at 0x000001C7FA05EE50>, <function inter_two_opt at 0x000001C7FA05EC10>]"
nbh_change_set,"[<function change_nbh_cyclic at 0x000001C7FA068820>, <function change_nbh_pipe at 0x000001C7FA0688B0>, <function change_nbh_sequential at 0x000001C7FA068790>, <function change_nbh_check_all at 0x000001C7FA068940>]"
large_nbhs,"[0.1, 0.15, 0.2, 0.3]"
large_timeout,200
graph_size,graph_instance,num_vehicles,capacity,trial,greedy_cost,vns_cyclic_cost,vns_cyclic_time,vns_pipe_cost,vns_pipe_time,vns_seq_cost,vns_seq_time,vns_all_cost,vns_all_time
50,0,5,15,0,36729,31375,0.218,31216,0.196,30426,0.585,30191,0.373
50,0,5,15,1,35996,32875,0.11,32875,0.157,32875,0.178,31908,0.269
50,0,5,15,2,35031,30125,0.346,32212,0.178,30738,0.465,30116,0.531
50,0,5,15,3,36866,31730,0.167,32116,0.323,33441,0.328,31178,0.384
50,0,5,15,4,36381,33113,0.087,32347,0.182,32333,0.253,30835,0.544
50,1,5,15,0,35589,27727,0.183,27312,0.415,27614,0.496,30055,0.343
50,1,5,15,1,32593,27776,0.135,26488,0.384,26488,0.444,26767,0.53
50,1,5,15,2,32994,27744,0.331,27264,0.422,27816,0.474,27640,0.308
50,1,5,15,3,36420,29755,0.226,27899,0.42,28444,0.357,27360,0.689
50,1,5,15,4,31755,27721,0.285,27669,0.227,27463,0.309,28162,0.387
50,2,5,15,0,36241,32033,0.179,31361,0.423,30627,0.66,31166,0.439
50,2,5,15,1,35583,33221,0.112,32930,0.246,33390,0.205,34936,0.067
50,2,5,15,2,35094,32601,0.207,32668,0.202,32497,0.328,31846,0.267
50,2,5,15,3,36509,32521,0.116,32028,0.15,32022,0.282,31630,0.306
50,2,5,15,4,37837,31161,0.141,30441,0.332,31163,0.518,35013,0.138
50,3,5,15,0,41235,32818,1.284,32971,0.72,33253,0.303,33342,0.33
50,3,5,15,1,37723,35503,0.078,32895,0.253,32895,0.437,34596,0.128
50,3,5,15,2,37508,34052,0.066,30991,0.209,31669,0.365,32270,0.356
50,3,5,15,3,38094,30651,0.327,33398,0.145,33560,0.225,31217,0.439
50,3,5,15,4,38750,35972,0.106,35972,0.112,35972,0.12,32461,0.34
50,4,5,15,0,46318,31836,0.255,32092,0.25,30386,0.586,30168,0.415
50,4,5,15,1,41535,32917,0.16,31210,0.321,32248,0.418,30875,0.559
50,4,5,15,2,42391,31531,0.202,30951,0.461,31171,0.792,28718,0.638
50,4,5,15,3,39255,30876,0.187,32025,0.242,30877,0.235,32542,0.18
50,4,5,15,4,42290,35396,0.126,29585,0.363,29151,0.605,31996,0.277
100,0,5,15,0,62635,55932,0.278,54355,0.443,54317,0.49,52288,1.045
100,0,5,15,1,59752,51138,0.579,52365,0.76,51721,1.209,50246,1.102
100,0,5,15,2,59921,49422,0.761,49025,0.784,47922,2.029,49842,1.255
100,0,5,15,3,61170,50139,0.607,51531,0.662,49544,1.402,50764,1.312
100,0,5,15,4,63244,51868,0.555,51936,0.468,52120,0.751,52882,1.027
100,1,5,15,0,63558,52334,0.646,51797,0.982,51134,1.469,50289,1.962
100,1,5,15,1,60885,51136,0.336,51854,0.394,52075,0.569,49946,1.641
100,1,5,15,2,66906,52622,0.64,54602,0.55,53207,1.11,53939,1.281
100,1,5,15,3,61430,52430,0.618,52143,0.714,52143,1.126,49920,1.214
100,1,5,15,4,63421,51336,0.616,51734,1.203,54837,1.156,50452,2.593
100,2,5,15,0,60021,52113,0.474,52055,0.974,52148,1.589,53788,0.589
100,2,5,15,1,65032,50952,1.002,51585,1.507,55234,0.678,51152,2.029
100,2,5,15,2,66073,54963,0.428,55646,0.567,51336,1.798,54311,1.225
100,2,5,15,3,61582,54772,0.363,59074,0.267,59074,0.324,52884,1.398
100,2,5,15,4,62953,54865,0.401,51162,0.925,50407,1.738,51360,1.424
100,3,5,15,0,75557,56176,1.123,57390,1.189,56697,2.312,58972,1.639
100,3,5,15,1,69965,57966,0.612,57004,0.81,59660,1.004,63260,0.38
100,3,5,15,2,71884,60359,0.559,60577,0.718,55784,2.311,56504,1.664
100,3,5,15,3,68140,58779,0.491,58162,0.647,56124,1.533,56531,1.214
100,3,5,15,4,69603,56143,0.612,55657,1.334,56684,1.503,58764,0.974
100,4,5,15,0,85186,66557,0.849,67183,0.734,64903,1.527,66450,1.032
100,4,5,15,1,82623,64899,0.82,62769,1.057,63480,1.86,61237,1.774
100,4,5,15,2,79674,64088,0.888,62429,1.08,62751,1.686,64731,0.805
100,4,5,15,3,82386,62937,1.014,65868,1.001,63363,1.857,65571,1.096
100,4,5,15,4,82863,62162,0.957,63369,1.065,65432,1.416,67307,0.798
150,0,5,15,0,90041,75481,1.632,73666,3.607,76682,3.327,72906,6.328
150,0,5,15,1,92708,78760,1.104,79901,1.934,85616,1.779,76207,3.453
150,0,5,15,2,93981,77506,1.433,79410,1.865,76711,2.893,77661,2.187
150,0,5,15,3,89847,81279,0.776,74647,2.205,78002,2.52,79883,1.458
150,0,5,15,4,93246,83774,0.615,79422,1.722,81548,1.871,81777,1.706
150,1,5,15,0,96544,79364,0.957,75913,2.185,74360,5.034,77605,2.609
150,1,5,15,1,93885,79276,0.802,78208,1.232,76326,3.151,75064,3.151
150,1,5,15,2,93858,74024,1.586,76179,1.25,73740,2.375,78387,2.376
150,1,5,15,3,93062,75155,1.482,74305,2.223,77895,3.552,78222,1.847
150,1,5,15,4,89933,76154,1.276,73967,2.133,75725,2.13,75574,3.291
150,2,5,15,0,102353,78507,1.743,78835,2.609,81886,1.851,76071,4.177
150,2,5,15,1,99228,77908,1.82,79689,2.494,82718,2.158,82458,1.794
150,2,5,15,2,101858,84060,1.118,81420,2.443,79873,3.712,77345,3.194
150,2,5,15,3,99033,81156,1.244,80282,2.257,80953,2.972,80891,4.136
150,2,5,15,4,100106,78572,2.323,77790,2.422,78479,5.749,81034,2.635
150,3,5,15,0,93318,83159,1.057,83251,1.987,83328,2.052,78433,3.217
150,3,5,15,1,95767,78773,1.439,83994,1.705,81406,3.101,81440,2.123
150,3,5,15,2,91927,82186,0.901,83791,1.064,78854,3.127,79216,2.51
150,3,5,15,3,98682,87669,0.407,83213,1.602,83055,2.677,80710,3.372
150,3,5,15,4,94752,79559,0.852,77481,2.507,77433,2.4,80381,1.599
150,4,5,15,0,96198,80882,0.961,84731,0.916,84731,1.019,74388,6.589
150,4,5,15,1,92527,76365,2.153,79363,1.854,73238,3.289,78055,2.981
150,4,5,15,2,96755,82809,0.83,78232,1.513,77097,3.068,74767,3.757
150,4,5,15,3,91319,74275,1.794,77280,1.736,77334,2.717,78926,2.339
150,4,5,15,4,97085,80973,1.49,82831,1.687,82831,2.547,82955,2.709
200,0,5,15,0,115838,98493,3.037,100353,4.264,100757,4.67,103467,2.424
200,0,5,15,1,122019,104177,1.277,108963,1.255,102636,3.744,100922,5.246
200,0,5,15,2,117724,96758,2.546,96303,4.675,101279,3.944,100220,4.153
200,0,5,15,3,118606,103971,1.369,101743,2.631,96396,3.968,99113,6.357
200,0,5,15,4,118316,99579,2.054,95860,4.007,99014,3.684,100729,3.426
200,1,5,15,0,112246,95456,2.794,90754,3.762,94351,3.135,91097,6.376
200,1,5,15,1,110971,98659,2.503,96933,2.379,95518,4.156,94215,4.77
200,1,5,15,2,112763,97555,1.512,93302,3.611,97641,3.765,97302,5.02
200,1,5,15,3,107850,97519,1.605,98223,1.471,92727,3.516,91771,5.5
200,1,5,15,4,112878,95481,2.007,97244,2.073,95329,3.655,98893,4.554
200,2,5,15,0,120871,103426,2.354,103138,3.026,100178,4.684,101773,4.626
200,2,5,15,1,127494,103477,1.976,101026,3.632,103884,4.098,106671,2.578
200,2,5,15,2,127870,100527,4.187,101949,4.277,99636,8.338,106025,5.434
200,2,5,15,3,124958,101658,2.932,101611,3.27,102847,3.811,100975,5.941
200,2,5,15,4,121854,102006,2.652,105013,3.025,105741,3.548,103335,4.431
200,3,5,15,0,124706,100041,3.364,104282,3.801,109764,1.719,104289,6.092
200,3,5,15,1,125189,100516,3.611,98396,6.105,102062,6.451,101487,5.217
200,3,5,15,2,126362,103131,3.702,100905,4.604,96565,11.756,104616,5.2
200,3,5,15,3,128736,109852,2.76,105409,3.844,100578,8.149,102008,5.744
200,3,5,15,4,130292,107071,1.711,102527,3.787,102069,5.024,100071,10.14
200,4,5,15,0,144472,123466,1.493,117468,4.008,120418,4.464,120197,6.161
200,4,5,15,1,145619,117744,2.49,114742,4.782,122334,2.779,118216,5.525
200,4,5,15,2,152824,126274,1.578,113987,6.104,114523,8.71,124001,4.125
200,4,5,15,3,145219,122251,1.605,119507,3.555,119507,4.964,118636,4.329
200,4,5,15,4,148400,114822,3.439,121112,3.037,127179,3.204,115959,5.794
250,0,5,15,0,141586,120768,5.75,123770,3.959,121126,8.078,119392,10.484
250,0,5,15,1,138431,124969,2.405,120621,4.04,122824,4.49,120970,8.364
250,0,5,15,2,138478,124765,2.69,118994,6.038,118177,7.713,117211,10.306
250,0,5,15,3,142845,127534,1.793,126142,3.263,126142,3.348,126579,4.696
250,0,5,15,4,143323,121516,3.508,125184,4.253,124262,9.581,126845,4.941
250,1,5,15,0,150422,131371,3.4,125014,4.977,122670,10.27,121014,12.445
250,1,5,15,1,147832,121909,3.068,118461,4.8,124200,6.907,122517,8.846
250,1,5,15,2,144910,123767,4.184,125070,5.258,118696,11.642,119878,11.087
250,1,5,15,3,147703,125895,3.246,128392,4.396,117313,11.802,123455,8.733
250,1,5,15,4,146896,121676,3.892,120338,7.41,123296,7.061,118122,10.11
250,2,5,15,0,138826,123024,2.111,118008,3.638,121120,3.834,119712,7.829
250,2,5,15,1,141041,118651,5.513,117000,6.607,121021,9.55,118629,11.854
250,2,5,15,2,142028,122402,4.363,127156,4.146,125953,8.171,119900,8.811
250,2,5,15,3,147003,122241,3.86,118889,8.638,124432,7.199,117952,15.346
250,2,5,15,4,139739,117653,3.587,116936,5.552,119316,6.039,117259,8.642
250,3,5,15,0,149514,130866,3.066,126612,6.107,125005,9.422,124606,19.539
250,3,5,15,1,167688,137104,2.442,132616,5.45,135770,7.075,137318,5.121
250,3,5,15,2,161237,130819,5.486,132232,7.811,129589,10.754,131462,9.301
250,3,5,15,3,157846,139338,2.108,132348,6.557,136108,7.487,132204,10.105
250,3,5,15,4,163844,128460,4.784,128519,6.94,130415,12.395,134631,6.94
250,4,5,15,0,162000,139487,3.939,136165,4.871,131952,8.502,135573,6.65
250,4,5,15,1,167206,132439,6.987,128427,9.562,137679,7.513,135662,13.041
250,4,5,15,2,163890,134643,4.868,133840,5.456,133164,6.762,144642,4.168
250,4,5,15,3,172807,144223,3.029,132289,8.296,132076,12.105,132348,12.711
250,4,5,15,4,166915,133149,5.87,134387,5.866,134657,6.881,133500,10.224
300,0,5,15,0,173718,152610,3.133,151467,5.591,150739,7.222,159076,6.423
300,0,5,15,1,169569,151913,3.517,157226,3.586,146748,14.987,141597,17.016
300,0,5,15,2,182479,152521,4.72,154761,5.896,150688,12.031,154942,8.042
300,0,5,15,3,175158,146439,3.662,148377,8.442,143323,15.381,143451,14.842
300,0,5,15,4,171713,146467,4.816,143612,7.324,145414,11.457,140364,17.255
300,1,5,15,0,178208,148172,7.044,142732,8.775,148569,7.335,155185,9.072
300,1,5,15,1,177858,146318,4.078,149094,5.646,141140,14.886,143021,18.216
300,1,5,15,2,173624,148756,4.993,154752,5.491,145216,8.926,141414,16.798
300,1,5,15,3,174214,157861,2.117,160642,3.704,158421,5.574,147853,10.424
300,1,5,15,4,177572,146624,7.038,150441,4.739,143230,14.456,147196,15.584
300,2,5,15,0,179752,155621,5.559,161440,5.323,154011,6.635,152057,14.535
300,2,5,15,1,186536,157035,5.116,148848,7.012,151587,9.019,148689,18.617
300,2,5,15,2,181200,151812,5.401,145210,7.823,150059,8.435,150730,14.803
300,2,5,15,3,176193,152288,3.27,146468,10.665,144149,13.705,155985,13.945
300,2,5,15,4,174015,147046,6.781,143234,14.212,148701,15.333,145640,12.822
300,3,5,15,0,172748,155600,2.3,147268,7.824,145550,12.925,155319,6.366
300,3,5,15,1,179602,141851,9.26,146629,8.557,145386,17.746,148232,13.017
300,3,5,15,2,179598,154244,5.17,152114,7.929,154173,8.074,152253,12.464
300,3,5,15,3,179336,149968,5.062,151779,4.57,145800,12.403,154943,7.314
300,3,5,15,4,181013,146916,6.997,142179,10.844,151080,14.699,146772,19.477
300,4,5,15,0,189246,150520,8.103,146495,20.237,149584,22.296,148976,21.23
300,4,5,15,1,191292,161662,3.482,158919,5.486,157931,10.515,149990,22.292
300,4,5,15,2,189836,152460,5.769,151765,10.981,151862,9.767,155008,15.333
300,4,5,15,3,187041,151020,7.271,155163,9.022,149147,15.797,152077,18.65
300,4,5,15,4,187878,152052,8.603,156689,8.037,158481,11.381,147472,25.885
350,0,5,15,0,210648,186344,4.023,184378,7.363,176718,13.559,176638,14.325
350,0,5,15,1,200027,179084,6.231,172631,9.904,176477,12.716,176374,14.938
350,0,5,15,2,203544,177947,6.596,173719,6.734,171599,20.062,182402,8.725
350,0,5,15,3,206485,179556,4.914,178256,5.304,170832,24.712,172624,16.401
350,0,5,15,4,206603,178116,5.674,166763,18.34,175644,13.892,176245,15.241
350,1,5,15,0,196745,168559,7.143,173307,5.934,167340,17.159,166763,12.717
350,1,5,15,1,200779,171917,7.033,171349,7.605,168706,17.559,171855,12.377
350,1,5,15,2,196009,162131,8.366,168493,7.921,169865,9.404,171013,14.107
350,1,5,15,3,196986,173703,4.631,180023,6.334,174845,9.045,169686,21.921
350,1,5,15,4,209097,181792,5.156,173413,9.5,177054,16.666,176193,16.701
350,2,5,15,0,196255,162422,10.408,167527,10.094,163393,10.308,160475,17.684
350,2,5,15,1,202492,171614,5.725,161405,12.425,159074,18.386,152717,43.635
350,2,5,15,2,192406,170733,4.368,164518,8.846,151291,26.214,158656,36.791
350,2,5,15,3,195746,171357,4.618,161276,13.422,154403,28.362,166507,20.356
350,2,5,15,4,189642,167714,4.166,166454,8.626,169232,4.929,169258,13.544
350,3,5,15,0,200105,173853,7.517,171469,9.144,175825,9.552,167532,13.336
350,3,5,15,1,189399,169585,5.356,161773,16.019,166506,15.349,169297,12.593
350,3,5,15,2,197514,173017,6.01,171148,8.882,170721,14.397,175491,19.379
350,3,5,15,3,195962,165579,13.394,165371,7.6,165295,10.94,172313,9.958
350,3,5,15,4,187274,169673,4.477,162317,7.187,161401,14.111,163442,13.244
350,4,5,15,0,218037,174734,12.5,175216,14.624,179024,16.437,176889,26.945
350,4,5,15,1,216831,173461,8.57,177786,7.748,178354,12.028,174648,21.913
