num_vehicles,5
num_vehicles_max,5
num_vehicles_step,1
capacity,15
capacity_max,15
capacity_step,1
graph_size,300
graph_size_max,500
graph_size_step,50
graph_variations,3
trials_per_graph,10
stop_duration,40
load_duration,15
timeout,120
ordered_nbhs,"[<function intra_two_opt at 0x000001E60412F700>, <function intra_segment_swap at 0x000001E60412FE50>, <function inter_segment_swap at 0x000001E60412FEE0>, <function inter_two_opt at 0x000001E60412FCA0>]"
nbh_change_set,[<function change_nbh_cyclic at 0x000001E60413A8B0>]
large_nbhs,"[0.1, 0.15, 0.2, 0.3]"
large_timeout,300
graph_size,graph_instance,num_vehicles,capacity,trial,greedy_cost,vns_cyclic_cost,vns_cyclic_time
300,0,5,15,0,174882,156020,4.016
300,0,5,15,1,178951,146889,5.545
300,0,5,15,2,180011,149250,4.338
300,0,5,15,3,182653,149998,5.582
300,0,5,15,4,174463,152264,6.17
300,0,5,15,5,171753,149496,3.398
300,0,5,15,6,173625,150961,5.356
300,0,5,15,7,176350,156865,2.988
300,0,5,15,8,177788,142089,11.81
300,0,5,15,9,184275,150109,4.983
300,1,5,15,0,177586,142872,6.769
300,1,5,15,1,170913,144681,4.248
300,1,5,15,2,180183,147214,5.499
300,1,5,15,3,176665,147466,4.28
300,1,5,15,4,174908,149473,2.984
300,1,5,15,5,174959,154626,3.456
300,1,5,15,6,172709,149856,3.778
300,1,5,15,7,174168,144672,5.225
300,1,5,15,8,182901,144784,6.041
300,1,5,15,9,175680,144229,4.629
300,2,5,15,0,183397,153846,4.11
300,2,5,15,1,187170,159721,3.793
300,2,5,15,2,183153,150604,7.101
300,2,5,15,3,178171,156707,5.464
300,2,5,15,4,183688,152801,5.088
300,2,5,15,5,183046,150134,6.786
300,2,5,15,6,175689,151115,5.44
300,2,5,15,7,183792,155403,3.278
300,2,5,15,8,181141,163252,3.461
300,2,5,15,9,179562,153972,3.973
350,0,5,15,0,209046,174391,10.837
350,0,5,15,1,211254,176993,5.001
350,0,5,15,2,205836,182380,5.598
350,0,5,15,3,211954,185606,3.837
350,0,5,15,4,205104,178953,7.842
350,0,5,15,5,204625,182892,4.404
350,0,5,15,6,210572,182284,6.065
350,0,5,15,7,206703,186171,3.866
350,0,5,15,8,209595,180766,6.004
350,0,5,15,9,206514,176064,7.906
350,1,5,15,0,196655,165919,6.854
350,1,5,15,1,195858,167858,7.324
350,1,5,15,2,192998,161018,9.348
350,1,5,15,3,203267,170068,7.078
