num_vehicles,5
num_vehicles_max,5
num_vehicles_step,1
capacity,15
capacity_max,15
capacity_step,1
graph_size,50
graph_size_max,350
graph_size_step,50
graph_variations,5
trials_per_graph,5
stop_duration,0
load_duration,0
timeout,60
ordered_nbhs,"[<function intra_two_opt at 0x0000024FE24EE670>, <function intra_segment_swap at 0x0000024FE24EEDC0>, <function inter_segment_swap at 0x0000024FE24EEE50>, <function inter_two_opt at 0x0000024FE24EEC10>]"
nbh_change_set,"[<function change_nbh_cyclic at 0x0000024FE24F9820>, <function change_nbh_pipe at 0x0000024FE24F98B0>, <function change_nbh_sequential at 0x0000024FE24F9790>, <function change_nbh_check_all at 0x0000024FE24F9940>]"
large_nbhs,"[0.1, 0.15, 0.2, 0.3]"
large_timeout,200
graph_size,graph_instance,num_vehicles,capacity,trial,greedy_cost,vns_cyclic_cost,vns_cyclic_time,vns_pipe_cost,vns_pipe_time,vns_seq_cost,vns_seq_time,vns_all_cost,vns_all_time
50,0,5,15,0,23129,17005,0.291,16499,0.278,16935,0.797,16581,0.532
50,0,5,15,1,22116,16772,0.429,15965,0.335,16552,0.682,15304,0.894
50,0,5,15,2,21591,16802,0.282,16571,0.339,16291,0.784,15696,0.596
50,0,5,15,3,23106,17153,0.393,16793,0.514,16351,0.709,16558,0.535
50,0,5,15,4,22461,17519,0.171,18771,0.185,16725,0.604,16769,0.584
50,1,5,15,0,24099,16024,0.231,16524,0.498,16483,0.466,16543,0.705
50,1,5,15,1,21303,14962,0.215,14923,0.318,15213,0.373,15987,0.356
50,1,5,15,2,21944,15662,0.382,16478,0.339,17255,0.568,15855,0.495
50,1,5,15,3,24970,16015,0.344,15850,0.364,16537,0.776,16256,0.566
50,1,5,15,4,20425,15962,0.306,15046,0.614,15370,0.563,16090,0.401
50,2,5,15,0,25131,20212,0.246,19234,0.305,19075,0.606,19590,0.603
50,2,5,15,1,24553,20142,0.239,18769,0.364,21798,0.307,20148,0.592
50,2,5,15,2,24104,19360,0.465,19203,0.382,18740,0.593,19526,0.647
50,2,5,15,3,25639,21212,0.094,19942,0.298,20891,0.456,20165,0.563
50,2,5,15,4,26967,20396,0.168,22102,0.419,20473,0.727,19598,0.533
50,3,5,15,0,31065,20739,0.482,20376,0.418,20773,0.795,20590,0.674
50,3,5,15,1,27913,20444,0.406,20173,0.307,20084,0.567,21124,0.411
50,3,5,15,2,27578,20885,0.242,21477,0.214,20729,0.558,21629,0.263
50,3,5,15,3,28204,20392,0.385,20052,0.479,20593,0.507,22253,0.556
50,3,5,15,4,29180,20523,0.326,21489,0.283,21300,0.498,21740,0.455
50,4,5,15,0,40548,24908,0.322,24920,0.388,24129,0.779,24914,0.398
50,4,5,15,1,35725,26206,0.271,26901,0.261,26398,0.385,25506,0.392
50,4,5,15,2,36541,25521,0.215,25869,0.353,25547,0.543,22908,0.648
50,4,5,15,3,33165,23956,0.217,25584,0.355,24119,0.567,22955,0.627
50,4,5,15,4,36320,23929,0.43,23718,0.279,22912,0.817,24463,0.515
100,0,5,15,0,41765,28886,0.763,29178,1.364,28990,2.175,28490,2.753
100,0,5,15,1,38882,27737,1.212,30011,1.065,29811,2.651,28046,1.742
100,0,5,15,2,39211,28461,0.758,27654,1.824,28674,2.439,28406,2.02
100,0,5,15,3,40379,28719,0.922,29396,1.361,29276,2.494,29621,1.165
100,0,5,15,4,42334,28143,1.122,30402,1.042,29332,2.313,28633,2.687
100,1,5,15,0,43178,29210,1.319,28560,2.081,30210,2.877,30896,1.746
100,1,5,15,1,40905,29599,0.691,28518,1.314,29174,1.736,28282,2.558
100,1,5,15,2,46206,29820,0.97,28689,1.887,31090,3.589,29320,3.158
100,1,5,15,3,40890,28637,0.841,27962,1.253,29319,2.378,29008,1.898
100,1,5,15,4,43241,29384,1.112,30267,1.205,30698,2.163,30858,1.257
100,2,5,15,0,39490,30448,0.545,30772,1.172,28998,2.103,29844,1.965
100,2,5,15,1,44942,30910,1.102,31583,1.248,30019,2.257,29095,2.914
100,2,5,15,2,45663,30098,1.081,28873,2.091,29709,4.175,30346,2.895
100,2,5,15,3,41812,29694,0.848,30129,1.394,29147,3.47,29033,3.866
100,2,5,15,4,42703,29271,0.922,29229,1.852,31070,1.676,29330,2.688
100,3,5,15,0,56877,35553,1.563,36363,2.191,35965,3.8,36004,3.146
100,3,5,15,1,50365,36777,1.309,35519,1.629,37083,2.391,35619,2.373
100,3,5,15,2,52684,36553,1.214,35635,2.306,36229,4.069,36813,2.698
100,3,5,15,3,49020,35570,1.068,35506,1.261,35106,3.559,36139,1.708
100,3,5,15,4,50923,35961,0.857,37268,1.038,37005,2.706,34688,2.913
100,4,5,15,0,66986,44191,1.431,43579,2.208,43235,2.922,42633,2.797
100,4,5,15,1,64543,44753,1.389,42346,1.764,47525,2.491,43019,2.61
100,4,5,15,2,62034,42894,1.022,42130,2.45,41880,3.574,43640,1.782
100,4,5,15,3,64386,42730,1.303,42873,1.404,43196,2.559,43165,2.023
100,4,5,15,4,64783,43388,1.038,46255,1.543,41927,2.901,42842,2.953
150,0,5,15,0,61501,45315,2.452,45222,3.254,43752,7.462,44515,4.54
150,0,5,15,1,63648,44352,2.921,45416,3.404,44718,8.207,45283,4.37
150,0,5,15,2,64561,46053,2.053,43802,3.838,44202,8.164,45074,5.622
150,0,5,15,3,61187,45842,3.208,44803,2.873,43369,7.742,44119,6.665
150,0,5,15,4,64586,45454,2.576,44353,5.117,44393,7.45,45532,5.343
150,1,5,15,0,69504,45015,2.386,45347,3.329,45827,7.709,44358,5.834
150,1,5,15,1,66365,45837,2.602,44831,4.018,45906,7.941,46516,4.116
150,1,5,15,2,66698,45562,2.244,45842,3.307,44046,8.23,46355,2.874
150,1,5,15,3,65542,44501,2.713,43839,3.276,46517,4.23,43994,6.546
150,1,5,15,4,62413,45253,1.879,44416,4.288,43829,7.196,45217,5.251
150,2,5,15,0,75773,49441,3.396,47043,6.371,48567,8.688,48796,6.258
150,2,5,15,1,73008,50322,2.45,49171,6.246,50294,6.576,49038,4.82
150,2,5,15,2,75518,51968,2.416,48235,6.391,49119,7.915,49724,5.971
150,2,5,15,3,72413,48633,2.598,50206,5.231,50022,6.902,51112,4.139
150,2,5,15,4,73606,48151,3.669,50107,3.894,47920,6.944,49738,4.963
150,3,5,15,0,66898,48908,2.41,49633,4.06,49970,7.364,51486,3.307
