5,15,40,200,20,5,5,tested cyclic,tested pipe,tested sequential,tested nbh_change_all
graph_size,graph_instance,trial,greedy_distance,vns_cyclic_distance,vns_cyclic_time,vns_pipe_distance,vns_pipe_time,vns_seq_distance,vns_seq_time,vns_all_distance,vns_all_time
40,0,0,258.223,0.164,261.914,0.246,253.58,0.567,250.295,0.376
40,0,1,231.197,0.232,227.978,0.302,243.313,0.314,238.848,0.295
40,0,2,271.131,0.07,245.76,0.21,247.661,0.225,247.661,0.198
40,0,3,245.627,0.222,243.989,0.295,229.696,0.529,238.531,0.573
40,0,4,271.912,0.114,234.472,0.303,251.815,0.447,235.093,0.473
40,1,0,197.195,0.193,217.004,0.228,215.22,0.391,211.433,0.388
40,1,1,202.91,0.243,205.772,0.252,201.638,0.367,213.815,0.38
40,1,2,219.188,0.097,208.383,0.252,219.026,0.309,206.033,0.194
40,1,3,221.493,0.203,203.362,0.303,197.773,0.484,205.249,0.333
40,1,4,213.447,0.304,189.028,0.241,217.424,0.363,202.999,0.385
40,2,0,163.916,0.207,151.756,0.272,164.48,0.437,152.361,0.282
40,2,1,147.54,0.314,155.425,0.384,155.565,0.402,153.69,0.346
40,2,2,157.941,0.227,179.163,0.147,180.222,0.238,164.268,0.258
40,2,3,150.754,0.203,149.094,0.181,151.656,0.274,146.813,0.287
40,2,4,151.085,0.34,165.891,0.198,162.108,0.604,151.166,0.39
40,3,0,146.167,0.26,147.229,0.31,145.548,0.564,142.444,0.496
40,3,1,145.295,0.139,142.348,0.328,147.307,0.443,141.908,0.376
40,3,2,152.412,0.201,168.505,0.19,154.769,0.446,146.968,0.451
40,3,3,143.598,0.158,141.186,0.293,148.67,0.381,137.868,0.347
40,3,4,143.509,0.318,148.274,0.323,153.55,0.724,153.023,0.369
40,4,0,173.899,0.126,156.528,0.339,169.678,0.369,155.58,0.385
40,4,1,187.623,0.049,158.727,0.192,159.826,0.34,154.915,0.459
40,4,2,171.695,0.134,152.442,0.162,156.659,0.318,150.849,0.309
40,4,3,144.995,0.43,166.982,0.264,154.983,0.514,147.464,0.605
40,4,4,160.674,0.204,162.067,0.253,170.161,0.396,153.566,0.26
60,0,0,288.752,0.615,294.973,0.491,294.023,1.28,290.704,0.907
60,0,1,288.938,0.558,308.448,0.47,310.624,0.728,287.943,0.676
60,0,2,310.326,0.536,295.735,0.838,311.582,1.542,297.218,0.903
60,0,3,305.422,0.419,285.286,0.762,290.716,1.455,296.925,0.758
60,0,4,281.115,0.598,278.096,0.824,300.532,1.287,318.407,0.415
60,1,0,300.718,0.391,274.499,0.502,273.715,1.268,281.516,0.862
60,1,1,272.418,0.388,276.342,0.641,283.258,1.193,270.011,0.996
60,1,2,271.597,0.788,288.624,0.544,295.7,1.305,304.1,0.656
60,1,3,276.662,0.388,272.789,0.574,289.778,1.047,277.603,0.66
60,1,4,277.732,0.413,264.374,0.527,272.839,0.971,281.979,1.059
60,2,0,260.336,0.419,231.745,0.777,242.78,1.451,244.621,0.747
60,2,1,238.936,0.623,232.242,0.764,226.85,2.061,244.538,0.748
60,2,2,253.255,0.244,234.224,0.694,242.482,1.151,232.553,0.994
60,2,3,260.408,0.261,253.54,0.535,240.016,1.382,235.105,0.888
60,2,4,264.728,0.189,253.06,0.575,235.875,1.539,240.001,1.223
60,3,0,186.031,0.587,176.214,0.657,179.155,1.565,176.788,0.874
60,3,1,175.075,0.51,177.466,0.421,177.083,0.839,166.517,0.966
60,3,2,177.786,0.417,181.372,0.499,167.116,1.342,174.653,0.602
60,3,3,190.799,0.414,184.952,0.588,183.132,0.978,185.2,1.159
60,3,4,178.385,0.253,179.027,0.383,173.572,1.15,172.942,0.821
60,4,0,206.857,0.412,210.332,0.472,196.713,1.474,199.125,0.741
60,4,1,202.971,0.537,198.947,0.676,205.608,0.891,203.43,0.858
60,4,2,204.4,0.345,201.681,0.429,206.049,0.906,196.917,1.155
60,4,3,201.369,0.609,198.145,0.76,201.069,0.964,204.931,0.853
60,4,4,198.892,0.277,208.929,0.605,200.333,1.503,193.714,0.897
80,0,0,387.786,0.629,367.201,0.997,351.8,2.173,357.596,1.716
80,0,1,347.131,0.993,357.493,1.223,344.883,2.723,349.253,1.674
80,0,2,354.066,0.871,356.668,1.687,347.305,1.375,353.999,1.593
80,0,3,337.119,0.902,375.532,1.199,388.996,2.124,354.264,1.715
80,0,4,369.108,0.675,357.168,0.888,374.579,1.029,359.277,1.494
80,1,0,280.714,0.898,289.575,0.736,285.244,1.742,295.779,0.748
