num_vehicles,5
capacity,15
min_graph_size,100
max_graph_size,300
graph_size_step,100
graph_variations,1
trials_per_graph,50
ordered_nbhs,"[<function intra_two_opt_fast at 0x000001EE95EEB8B0>, <function intra_segment_swap_fast at 0x000001EE95EEBA60>, <function inter_two_opt_fast at 0x000001EE95EEB940>, <function inter_segment_swap_fast at 0x000001EE95EEBAF0>]"
nbh_change_set,"[<function change_nbh_cyclic at 0x000001EE95EEF820>, <function change_nbh_pipe at 0x000001EE95EEF8B0>, <function change_nbh_sequential at 0x000001EE95EEF790>, <function change_nbh_check_all at 0x000001EE95EEF940>]"
graph_size,graph_instance,trial,greedy_distance,vns_cyclic_distance,vns_cyclic_time,vns_pipe_distance,vns_pipe_time,vns_seq_distance,vns_seq_time,vns_all_distance,vns_all_time
100,0,0,737.065,439.499,1.69,418.742,1.531,417.257,3.039,423.989,4.057
100,0,1,679.051,437.413,1.303,445.253,1.114,461.402,3.065,430.042,2.837
100,0,2,663.594,437.291,1.108,429.4,1.835,425.762,3.217,440.991,3.129
100,0,3,705.628,456.533,0.992,438.715,1.658,435.139,3.073,422.753,3.731
100,0,4,736.447,429.478,1.528,432.638,1.654,455.02,3.877,439.074,2.917
100,0,5,714.342,429.928,1.39,420.466,1.321,424.948,2.807,441.021,3.192
100,0,6,673.558,418.153,1.393,423.731,1.934,439.883,4.555,417.04,3.087
100,0,7,717.745,441.424,1.29,433.488,1.887,418.722,4.143,420.015,5.012
100,0,8,671.856,432.991,0.982,444.705,1.653,425.763,3.564,420.521,4.724
100,0,9,704.732,434.67,1.061,444.441,1.212,453.648,3.065,434.226,3.023
100,0,10,727.72,421.753,1.106,442.624,2.064,422.332,4.677,450.018,3.274
100,0,11,689.655,452.391,1.098,439.941,1.436,423.144,4.207,438.31,2.736
100,0,12,774.023,453.676,0.856,429.418,2.361,427.329,3.555,428.665,3.281
100,0,13,762.189,412.112,1.209,432.754,1.498,432.356,3.066,432.538,3.431
100,0,14,750.517,480.198,1.112,446.435,1.64,451.471,2.816,463.582,1.911
100,0,15,807.914,429.901,2.328,432.492,2.486,441.351,3.004,426.495,4.834
100,0,16,782.432,460.32,1.08,454.245,1.544,461.489,4.172,431.947,3.71
100,0,17,688.635,438.493,1.399,447.607,1.556,438.336,2.766,446.228,3.419
100,0,18,682.542,452.984,1.09,461.892,1.865,431.713,4.401,448.909,2.644
100,0,19,715.888,433.404,1.936,420.506,2.439,440.487,3.678,424.013,4.599
100,0,20,728.22,435.102,1.274,426.327,2.326,424.552,3.449,414.002,5.236
100,0,21,624.328,446.051,1.099,445.594,1.694,452.805,3.564,442.273,3.297
100,0,22,741.598,454.095,1.54,443.208,1.837,451.776,3.898,442.468,3.234
100,0,23,776.595,449.215,0.91,434.873,1.904,444.431,4.644,427.619,3.82
100,0,24,751.425,441.823,1.081,423.311,2.485,468.016,3.308,443.399,3.104
100,0,25,723.24,439.719,1.186,452.874,1.792,444.739,4.413,454.508,3.503
100,0,26,676.079,430.832,1.564,448.488,1.706,428.29,2.933,434.407,3.028
100,0,27,675.688,441.724,1.086,445.85,1.7,452.574,1.931,420.853,4.101
100,0,28,698.43,469.574,1.402,464.926,1.402,445.3,2.747,449.978,2.317
100,0,29,762.033,464.681,0.699,442.162,2.087,441.206,6.615,425.785,4.669
100,0,30,686.067,433.114,1.327,439.095,2.19,437.767,3.737,413.249,4.478
100,0,31,756.677,451.573,1.26,440.113,2.029,454.165,4.482,432.814,3.367
100,0,32,700.829,413.86,1.341,429.661,1.252,428.019,2.006,442.556,2.156
100,0,33,706.304,451.626,1.242,444.927,1.689,465.727,2.531,453.629,3.347
100,0,34,613.01,430.833,0.633,428.866,2.136,453.522,2.027,431.288,2.39
100,0,35,713.404,460.587,1.193,428.946,1.856,451.304,3.749,428.367,5.14
100,0,36,748.453,409.419,1.69,418.45,2.122,454.142,3.908,427.456,3.229
100,0,37,742.29,452.418,1.236,449.678,1.398,437.004,4.221,436.813,3.805
100,0,38,730.746,428.824,1.725,441.796,1.921,441.717,4.145,435.459,3.71
100,0,39,679.728,459.298,1.099,443.622,1.91,437.885,3.061,442.862,4.848
100,0,40,804.132,432.342,2.189,432.277,1.86,442.785,5.803,426.512,4.159
100,0,41,730.685,450.474,1.05,430.875,2.056,429.616,3.635,438.699,3.217
100,0,42,718.794,463.312,0.965,445.459,1.06,421.878,2.826,414.454,3.439
100,0,43,703.909,433.493,1.995,424.956,1.647,412.731,3.104,427.282,3.177
100,0,44,683.897,443.966,0.908,426.651,1.869,433.298,2.812,448.924,2.291
100,0,45,709.908,446.781,1.54,432.259,1.519,446.468,3.225,423.075,3.816
100,0,46,686.041,419.854,1.176,434.454,1.344,467.551,2.623,438.316,3.045
100,0,47,741.977,430.54,1.806,449.317,1.861,428.373,5.066,403.606,5.317
100,0,48,686.014,457.364,0.722,438.914,1.818,454.462,3.67,422.475,2.712
100,0,49,758.846,433.641,1.037,424.64,1.728,454.956,2.999,445.748,3.38
200,0,0,920.17,625.999,6.253,640.376,11.939,642.567,11.129,637.677,22.095
200,0,1,975.074,665.412,4.544,676.333,8.119,675.689,10.693,630.072,13.824
200,0,2,1066.051,666.648,4.039,638.239,9.414,643.002,18.198,663.443,16.178
200,0,3,992.708,644.715,5.597,669.482,8.019,650.988,13.217,660.917,12.566
200,0,4,1053.655,642.929,3.945,632.369,10.045,651.242,14.277,635.428,20.459
200,0,5,965.514,626.174,7.958,666.277,10.207,668.045,14.802,648.096,20.14
200,0,6,958.579,657.123,4.325,632.486,12.588,652.494,16.303,629.035,19.108
200,0,7,919.387,644.612,5.286,643.259,9.421,666.183,13.16,688.752,10.7
200,0,8,996.9,657.321,4.149,642.698,9.35,646.07,13.227,653.584,23.047
200,0,9,970.315,626.477,7.309,655.571,9.372,678.103,15.075,625.531,20.611
200,0,10,933.002,636.769,6.682,626.933,8.161,650.712,15.958,644.985,17.943
200,0,11,998.924,640.915,4.523,646.333,7.861,644.962,15.094,638.057,22.207
200,0,12,963.634,657.978,5.004,647.282,11.766,671.647,14.371,633.764,18.031
200,0,13,974.933,660.824,3.637,607.308,9.495,680.027,15.21,637.362,21.659
200,0,14,970.703,606.173,6.181,697.921,6.671,611.784,22.882,608.968,20.017
200,0,15,930.904,662.264,4.442,633.605,10.005,650.588,13.549,676.009,12.671
200,0,16,930.7,664.0,4.861,657.182,8.574,674.111,13.824,695.193,15.772
200,0,17,1097.826,682.206,3.53,659.219,7.792,644.036,21.896,617.856,17.77
200,0,18,1011.896,655.57,5.589,613.267,9.272,667.277,11.587,617.459,30.584
200,0,19,1023.98,652.603,6.54,700.19,7.447,658.722,18.561,646.106,19.36
200,0,20,957.847,630.929,4.373,656.566,6.034,652.967,10.017,662.946,19.197
200,0,21,972.466,682.098,5.781,652.527,7.162,691.647,10.992,668.853,15.378
200,0,22,892.392,638.292,5.486,632.662,9.621,647.628,11.581,644.096,16.915
200,0,23,998.666,628.983,4.346,626.566,8.173,615.25,17.903,641.77,19.932
200,0,24,956.919,648.071,5.28,634.367,7.061,649.454,10.437,661.98,15.872
200,0,25,1050.697,635.444,5.539,633.16,8.254,700.43,14.078,679.884,18.363
200,0,26,964.351,644.942,7.203,622.122,7.788,690.421,9.918,686.105,13.72
200,0,27,964.284,634.649,4.429,660.034,9.864,647.288,13.699,685.712,11.584
200,0,28,1069.904,614.052,8.798,621.6,12.956,679.988,14.539,670.046,19.796
200,0,29,1000.64,627.9,7.611,648.213,8.422,681.057,16.975,643.292,24.911
200,0,30,960.65,660.809,6.575,637.879,13.563,667.045,9.405,670.122,16.82
200,0,31,1036.111,652.707,4.605,672.189,10.772,658.471,13.984,629.806,25.694
200,0,32,985.915,662.42,3.818,658.394,8.299,690.72,14.355,650.891,14.049
200,0,33,996.502,641.234,5.539,627.658,8.481,634.751,13.601,610.905,18.357
200,0,34,913.671,620.421,6.708,641.789,9.436,648.103,14.027,652.234,16.591
200,0,35,987.679,696.922,4.7,679.153,8.018,651.969,13.934,624.68,18.164
200,0,36,976.648,645.441,5.798,634.291,6.954,649.689,11.91,627.54,17.649
200,0,37,931.183,632.492,4.1,625.218,8.486,633.527,12.124,616.886,19.562
200,0,38,1015.967,619.213,4.75,689.093,7.191,639.018,16.236,625.214,20.784
200,0,39,989.78,633.658,5.816,646.948,8.181,645.963,19.987,644.786,15.743
200,0,40,983.996,670.5,4.362,638.53,9.373,697.654,13.566,607.959,22.228
200,0,41,915.304,615.485,5.228,611.328,7.292,649.452,8.425,644.18,15.55
200,0,42,1018.847,682.571,6.26,688.987,7.875,692.857,17.38,696.392,13.324
200,0,43,915.828,645.202,3.974,654.546,6.798,650.805,17.464,632.757,13.384
200,0,44,959.46,653.722,6.957,626.447,11.827,642.596,15.065,665.463,19.055
200,0,45,990.958,638.593,4.744,630.771,12.254,668.38,10.138,639.321,18.941
200,0,46,951.645,634.298,5.189,660.691,6.858,618.876,14.674,660.223,15.515
200,0,47,949.351,642.958,7.858,686.27,5.642,648.18,16.175,655.764,23.429
200,0,48,1030.104,641.086,4.689,666.012,13.202,618.924,22.023,636.657,21.546
200,0,49,862.829,660.363,2.858,655.007,5.694,664.512,12.774,652.007,12.977
300,0,0,1329.443,886.994,11.467,874.401,27.32,872.363,44.598,876.902,55.252
300,0,1,1243.575,873.091,14.2,838.961,28.524,892.442,37.452,859.669,49.75
300,0,2,1287.749,926.292,9.483,833.635,29.155,866.259,37.013,845.973,55.863
300,0,3,1324.816,838.937,13.827,845.325,23.702,886.116,38.235,882.775,36.086
300,0,4,1289.646,879.459,13.197,915.908,15.634,875.068,42.795,867.033,45.302
300,0,5,1281.004,869.736,12.151,881.036,17.377,884.077,37.453,884.456,44.605
300,0,6,1298.041,884.76,11.226,892.635,18.925,845.354,48.903,868.227,36.335
300,0,7,1333.441,870.57,12.52,849.383,24.928,866.951,37.894,858.181,47.347
300,0,8,1259.351,860.153,14.931,867.138,27.2,885.08,35.273,858.551,32.861
300,0,9,1332.539,887.267,10.709,850.655,21.643,878.532,47.704,884.166,49.729
300,0,10,1342.801,882.477,10.486,881.076,20.716,862.004,41.05,864.87,54.436
300,0,11,1272.398,905.511,10.564,883.667,26.211,888.702,34.396,930.347,41.854
300,0,12,1292.21,933.077,7.688,891.573,22.393,873.314,28.21,881.439,33.331
300,0,13,1365.145,867.592,14.247,927.156,25.589,904.999,31.525,969.136,41.526
300,0,14,1417.273,868.93,19.954,885.795,24.757,863.226,60.998,868.821,66.367
300,0,15,1310.409,843.847,13.3,878.522,17.331,862.527,40.053,890.191,32.904
300,0,16,1290.495,905.043,13.933,872.323,20.798,885.926,32.081,860.243,93.803
300,0,17,1253.597,896.156,13.127,868.819,23.674,870.663,42.71,900.719,38.611
300,0,18,1317.363,878.937,13.98,881.397,25.867,910.382,27.662,862.169,56.708
300,0,19,1354.254,829.673,12.159,905.109,24.901,869.712,37.662,875.664,57.613
300,0,20,1326.135,875.29,17.429,850.405,23.523,876.591,41.149,874.956,42.665
300,0,21,1471.253,881.497,12.149,872.161,23.635,922.836,32.146,868.011,53.56
300,0,22,1228.471,913.607,11.707,875.157,17.049,887.134,31.81,934.513,32.526
300,0,23,1376.986,888.983,11.368,885.185,25.136,876.161,29.287,899.967,30.882
300,0,24,1449.265,894.582,14.711,874.855,16.306,865.047,28.564,917.156,41.333
300,0,25,1330.187,881.806,8.382,839.857,24.776,876.943,26.183,870.852,33.859
300,0,26,1328.414,856.353,12.376,911.765,21.017,912.222,44.951,887.831,47.544
300,0,27,1362.047,929.148,9.792,889.053,23.479,929.936,37.292,888.823,69.555
300,0,28,1400.124,871.861,10.812,856.785,18.684,827.103,47.354,875.524,41.696
300,0,29,1269.006,870.323,16.88,888.534,19.34,907.202,21.558,882.38,41.919
300,0,30,1312.754,869.687,13.37,926.517,16.639,915.228,28.195,872.067,52.013
300,0,31,1357.233,856.114,18.432,852.167,25.282,891.358,38.372,905.51,29.375
300,0,32,1360.072,869.694,15.767,861.114,20.126,894.37,38.17,875.661,39.785
300,0,33,1325.541,895.769,9.388,931.975,13.602,881.163,41.901,889.098,41.396
300,0,34,1326.319,838.627,15.213,870.814,25.763,820.381,47.734,893.472,34.964
300,0,35,1233.397,898.374,12.516,867.804,27.446,857.778,38.296,917.17,29.932
300,0,36,1234.555,902.836,11.561,873.389,21.508,838.471,47.64,878.569,44.397
300,0,37,1427.319,867.203,12.383,911.058,17.301,907.194,35.043,899.888,39.158
300,0,38,1351.15,913.846,9.099,918.464,15.162,935.95,29.685,916.062,44.711
300,0,39,1358.295,885.593,12.543,863.731,22.995,936.495,25.512,909.981,37.713
300,0,40,1360.244,857.833,11.764,877.518,23.863,901.873,27.725,950.0,28.578
300,0,41,1299.509,849.952,11.639,864.672,20.29,882.695,28.056,915.062,27.197
300,0,42,1399.934,835.909,16.713,882.163,25.961,921.766,30.467,884.915,48.751
300,0,43,1326.081,906.613,10.935,906.095,16.372,849.533,43.802,851.648,53.065
300,0,44,1333.552,861.853,12.165,878.49,22.6,889.038,29.774,876.169,33.776
300,0,45,1438.904,853.016,11.482,922.896,18.177,900.202,39.378,862.922,53.675
300,0,46,1389.404,869.258,14.168,847.705,28.127,870.255,51.165,882.378,53.923
300,0,47,1306.817,875.518,10.238,886.739,20.624,863.499,36.587,887.783,36.602
300,0,48,1291.068,876.845,14.399,815.833,26.391,883.904,41.586,892.035,41.089
300,0,49,1350.469,882.053,10.875,871.347,22.296,889.881,40.733,874.094,48.305
